id,player_id,team_id,year,G,AB,H,2B,3B,HR,RBI,SB
1,23,134,1871,1,4,0,0,0,0,0,0
2,115,112,1871,25,118,32,6,0,0,13,8
3,264,45,1871,29,137,40,4,5,0,19,3
4,268,142,1871,27,133,44,10,2,2,27,1
5,449,112,1871,25,120,39,11,3,0,16,6
6,517,56,1871,12,49,11,2,1,0,5,0
7,859,112,1871,1,4,1,0,0,0,2,0
8,904,16,1871,31,157,63,10,9,0,34,11
9,930,56,1871,1,5,1,1,0,0,1,0
10,956,16,1871,18,86,13,2,1,0,11,1
11,1006,45,1871,22,89,27,1,10,3,18,0
12,1040,45,1871,1,3,0,0,0,0,0,0
13,1093,142,1871,10,36,7,0,0,0,1,2
14,1128,134,1871,3,15,6,0,0,0,5,2
15,1132,96,1871,20,94,33,9,1,1,21,4
16,1211,134,1871,29,128,32,3,3,0,23,4
17,1352,96,1871,1,4,0,0,0,0,0,0
18,1389,96,1871,1,4,1,0,0,0,0,0
19,1393,142,1871,17,73,17,1,1,0,8,3
20,1457,56,1871,1,2,0,0,0,0,0,0
21,1486,112,1871,25,106,28,2,5,0,13,1
22,1491,16,1871,29,152,46,3,3,0,24,6
23,1962,142,1871,30,134,30,4,0,0,21,4
24,1980,35,1871,3,14,1,0,0,0,0,0
25,2508,142,1871,12,63,15,2,3,1,14,0
26,2829,56,1871,19,87,20,2,0,0,10,5
27,2836,45,1871,29,127,32,8,1,0,18,2
28,3626,16,1871,19,77,20,3,1,0,16,12
29,3668,134,1871,7,33,7,0,0,0,2,0
30,3946,134,1871,27,118,38,8,1,0,26,6
31,4193,96,1871,28,150,37,7,5,3,30,16
32,4453,56,1871,6,22,4,0,1,0,2,0
33,4890,56,1871,9,34,7,1,1,0,3,0
34,5078,35,1871,26,121,28,5,0,0,15,11
35,5316,91,1871,33,147,47,7,3,0,18,14
36,5574,45,1871,1,3,0,0,0,0,0,0
37,5718,91,1871,33,158,38,6,1,0,25,4
38,5852,112,1871,25,123,28,3,3,1,22,1
39,5880,96,1871,28,147,41,8,2,0,16,6
40,5926,91,1871,1,6,2,0,0,0,1,0
41,5975,134,1871,21,105,33,5,4,0,18,8
42,5986,134,1871,29,142,48,6,1,0,27,3
43,6007,35,1871,18,84,22,3,1,0,13,1
44,6024,56,1871,19,89,31,1,3,1,18,1
45,6026,142,1871,32,162,45,9,4,0,29,8
46,6304,112,1871,16,63,17,1,3,0,3,0
47,6856,142,1871,26,120,37,3,2,0,21,1
48,6905,56,1871,19,88,18,1,0,0,12,0
49,7067,16,1871,31,151,43,9,2,2,32,6
50,7557,142,1871,32,136,40,3,3,2,17,2
51,7560,56,1871,5,25,5,0,0,0,2,1
52,7624,112,1871,25,113,28,4,0,0,12,6
53,7884,112,1871,25,118,30,6,4,0,20,11
54,7893,91,1871,33,168,43,3,2,0,22,10
55,8288,96,1871,17,75,23,4,2,0,13,1
56,8340,91,1871,21,94,34,3,1,0,9,3
57,8457,35,1871,28,130,36,4,1,2,25,3
58,9044,16,1871,16,76,17,5,3,0,11,0
59,9236,45,1871,16,67,15,1,0,0,7,1
60,9708,56,1871,18,67,15,1,1,0,7,0
61,9879,45,1871,29,131,25,1,0,0,9,5
62,9914,35,1871,20,101,21,1,0,2,16,5
63,9924,134,1871,29,144,57,10,6,0,34,3
64,10100,56,1871,3,12,2,1,0,0,1,0
65,10694,56,1871,12,48,11,3,0,0,5,1
66,10701,142,1871,31,148,43,8,3,0,30,14
67,11280,112,1871,25,122,30,7,1,0,17,12
68,11450,96,1871,27,134,46,7,1,1,33,9
69,11766,56,1871,19,89,24,3,1,0,10,2
70,11915,35,1871,26,135,37,8,2,0,10,5
71,11927,96,1871,25,132,31,3,0,0,17,4
72,12063,56,1871,2,8,2,0,0,0,1,1
73,12133,134,1871,29,148,39,4,0,0,12,20
74,12314,134,1871,29,136,38,0,5,0,32,11
75,12366,16,1871,29,153,66,9,5,0,43,6
76,12573,96,1871,26,130,64,9,3,4,40,4
77,12740,91,1871,32,146,36,4,3,0,22,2
78,12742,142,1871,32,157,43,6,4,1,24,2
79,12766,56,1871,9,36,8,0,0,0,5,1
80,13719,142,1871,1,1,0,0,0,0,0,0
81,14148,45,1871,29,142,42,2,4,0,18,1
82,14336,91,1871,32,151,31,2,0,0,13,2
83,14405,91,1871,33,163,44,5,0,0,20,0
84,14700,56,1871,1,3,0,0,0,0,0,0
85,14794,134,1871,28,130,49,10,7,4,39,3
86,14816,35,1871,24,95,25,5,5,1,17,5
87,15023,45,1871,29,130,34,6,8,0,20,1
88,15029,96,1871,1,6,2,0,0,0,1,0
89,15150,45,1871,3,13,3,1,0,0,2,0
90,15171,56,1871,5,17,4,0,0,0,2,3
91,15203,96,1871,28,145,44,7,5,0,22,5
92,15371,96,1871,26,133,47,7,6,0,34,2
93,16365,112,1871,8,39,11,0,0,0,5,5
94,16615,16,1871,31,149,42,7,5,0,28,13
95,16913,56,1871,14,65,15,3,0,1,10,1
96,16925,96,1871,25,127,41,5,2,0,23,5
97,17234,35,1871,27,129,28,6,1,0,17,4
98,17402,91,1871,14,72,19,2,1,0,5,6
99,17690,16,1871,31,144,39,10,1,1,31,2
100,17863,91,1871,33,161,58,5,1,1,34,4
101,17877,142,1871,2,9,0,0,0,0,1,0
102,18012,112,1871,25,110,30,4,6,2,24,3
103,18280,45,1871,29,128,45,3,7,3,23,3
104,18315,142,1871,5,19,4,1,0,0,4,0
105,18914,35,1871,25,124,42,7,5,4,33,13
106,19680,142,1871,32,158,50,7,4,0,17,11
107,19948,45,1871,29,146,47,6,5,1,21,2
108,19957,45,1871,15,70,18,2,0,0,9,0
109,19996,142,1871,1,4,0,0,0,0,0,0
110,20398,91,1871,32,138,51,6,9,0,44,1
111,20431,35,1871,28,135,51,10,6,1,29,18
112,20509,16,1871,16,80,33,7,5,0,11,9
113,20513,16,1871,31,147,44,5,2,0,26,7
114,20617,134,1871,29,145,37,5,7,2,23,2
115,20735,35,1871,28,128,32,3,0,0,18,4
116,237,76,1872,17,70,19,3,0,0,11,0
117,263,23,1872,22,92,15,2,0,0,10,0
118,264,45,1872,19,87,23,4,0,0,8,0
119,265,23,1872,6,21,3,0,0,0,1,0
120,268,134,1872,23,114,35,4,2,0,20,1
121,268,23,1872,18,83,28,2,1,0,4,0
122,449,96,1872,46,217,90,10,7,0,48,6
123,525,76,1872,2,7,1,0,0,0,0,1
124,876,20,1872,37,171,54,1,0,0,8,7
125,904,16,1872,45,230,99,28,2,1,44,12
126,928,20,1872,8,34,7,1,0,0,2,1
127,930,142,1872,1,4,0,0,0,0,0,0
128,1006,20,1872,2,7,1,1,0,0,1,0
129,1093,142,1872,9,36,11,1,1,0,5,0
130,1128,20,1872,10,43,9,2,0,0,2,0
131,1132,91,1872,51,247,74,11,3,0,42,9
132,1211,134,1872,23,115,30,4,0,0,17,1
133,1306,76,1872,23,114,25,3,4,1,11,1
134,1403,23,1872,4,14,4,0,0,0,0,0
135,1451,137,1872,10,46,8,0,0,0,3,0
136,1491,16,1872,16,76,16,3,0,0,15,0
137,1766,76,1872,24,116,37,5,2,0,15,0
138,1766,20,1872,15,62,19,4,0,0,7,0
139,1882,91,1872,36,170,44,6,1,1,32,4
140,1962,142,1872,9,43,16,3,0,0,6,0
141,1962,76,1872,6,25,5,0,0,0,1,0
142,2119,20,1872,37,155,41,7,0,0,11,0
143,2253,20,1872,4,15,2,0,0,0,0,0
144,2416,20,1872,37,174,47,3,0,0,14,0
145,2508,142,1872,2,7,1,0,0,0,0,0
146,2583,76,1872,18,93,20,0,0,0,7,0
147,2829,5,1872,42,196,57,7,0,2,27,4
148,2836,45,1872,7,38,12,1,0,0,4,1
149,3318,76,1872,19,97,27,7,1,1,16,2
150,3320,20,1872,2,7,1,0,0,0,0,0
151,3442,23,1872,25,98,24,4,1,0,6,0
152,3861,137,1872,8,37,11,1,0,0,7,0
153,3946,5,1872,35,178,50,3,3,0,24,9
154,4138,91,1872,55,249,52,9,3,0,26,0
155,4193,96,1872,47,260,88,10,0,1,47,14
156,4503,20,1872,37,164,37,4,1,0,15,4
157,4929,20,1872,6,24,9,0,0,0,5,0
158,4985,137,1872,9,41,11,1,0,0,9,0
159,5316,91,1872,56,290,97,20,0,0,19,18
160,5718,20,1872,37,164,46,3,0,0,19,4
161,5777,76,1872,18,86,19,3,1,0,14,0
162,5852,5,1872,46,225,52,10,3,1,36,1
163,5880,96,1872,47,244,85,13,3,0,48,3
164,5926,23,1872,13,53,12,1,0,0,6,1
165,5941,23,1872,2,8,2,0,0,0,1,0
166,5975,96,1872,3,15,4,0,0,0,4,0
167,5986,142,1872,9,40,9,1,0,0,2,0
168,6026,134,1872,25,130,53,11,0,0,19,2
169,6026,5,1872,19,95,41,2,2,0,14,5
170,6304,91,1872,36,165,50,1,1,1,15,1
171,6399,20,1872,1,4,0,0,0,0,0,0
172,6601,134,1872,9,47,20,3,0,3,18,1
173,6601,23,1872,18,71,13,1,0,0,6,2
174,6856,142,1872,9,39,6,0,0,0,3,0
175,6856,137,1872,1,4,2,0,0,0,0,0
176,6905,142,1872,9,41,10,2,0,0,5,0
177,7067,16,1872,45,212,54,9,8,0,32,0
178,7557,5,1872,53,250,84,17,6,1,37,8
179,7564,20,1872,13,57,18,0,1,0,6,0
